Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
closeBrowser(),Chrome 123.0.0.0,,,27-03-2024 22:43:23,27-03-2024 22:43:23,"0,142s",PASSED
,,,,,,,
Test Cases/Login_Sauce_01,Chrome 123.0.0.0,,,27-03-2024 22:43:23,27-03-2024 22:43:57,"34,556s",PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,27-03-2024 22:43:23,27-03-2024 22:43:24,"0,736s",PASSED
"navigateToUrl(""https://www.saucedemo.com"")",Chrome 123.0.0.0,,,27-03-2024 22:43:24,27-03-2024 22:43:24,"0,722s",PASSED
"setText(findTestObject(""Login_Page/input_Swag Labs_user-name""), Username)",Chrome 123.0.0.0,,,27-03-2024 22:43:24,27-03-2024 22:43:26,"1,847s",PASSED
"setText(findTestObject(""Login_Page/input_Swag Labs_password""), Password)",Chrome 123.0.0.0,,,27-03-2024 22:43:26,27-03-2024 22:43:27,"0,660s",PASSED
"click(findTestObject(""Login_Page/input_Epic sadface Username is required_login-button""))",Chrome 123.0.0.0,,,27-03-2024 22:43:27,27-03-2024 22:43:27,"0,353s",PASSED
"verifyElementText(findTestObject(""Login_Page/h3_Epic sadface Username is required""), VerifyText)",Chrome 123.0.0.0,,,27-03-2024 22:43:27,27-03-2024 22:43:57,"30,076s",PASSED
closeBrowser(),Chrome 123.0.0.0,,,27-03-2024 22:43:57,27-03-2024 22:43:57,"0,143s",PASSED
,,,,,,,
Test Cases/Login_Sauce,Chrome 123.0.0.0,,,27-03-2024 22:43:57,27-03-2024 22:44:09,"11,609s",PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,27-03-2024 22:43:57,27-03-2024 22:43:58,"0,660s",PASSED
"navigateToUrl(""https://www.saucedemo.com"")",Chrome 123.0.0.0,,,27-03-2024 22:43:58,27-03-2024 22:43:59,"0,708s",PASSED
"setText(findTestObject(""Login_Page/input_Swag Labs_user-name""), ""standard_user"")",Chrome 123.0.0.0,,,27-03-2024 22:43:59,27-03-2024 22:44:01,"2,035s",PASSED
"setText(findTestObject(""Login_Page/input_Swag Labs_password""), ""secret_sauce"")",Chrome 123.0.0.0,,,27-03-2024 22:44:01,27-03-2024 22:44:05,"3,993s",PASSED
"click(findTestObject(""Login_Page/input_Epic sadface Username is required_login-button""))",Chrome 123.0.0.0,,,27-03-2024 22:44:05,27-03-2024 22:44:07,"1,985s",PASSED
"verifyElementPresent(findTestObject(""Login_Page/span_Products""), 10)",Chrome 123.0.0.0,,,27-03-2024 22:44:07,27-03-2024 22:44:09,"2,035s",PASSED
closeBrowser(),Chrome 123.0.0.0,,,27-03-2024 22:44:09,27-03-2024 22:44:09,"0,101s",PASSED
